,incident_type,finding,action_taken
2574,Citizen complaint,Sustained,No action
2575,Citizen complaint,Sustained,No action
2576,Citizen complaint,Not Sustained,No action
2577,Citizen complaint,Sustained,No action
2578,Citizen complaint,Sustained,No action
2579,Citizen complaint,Not Sustained,No action
2580,Citizen complaint,Not Sustained,No action
2581,Citizen complaint,Not Sustained,No action
2582,Citizen complaint,Not Sustained,No action
2583,Citizen complaint,Sustained,No action
2584,Citizen complaint,Not Sustained,No action
2585,Citizen complaint,Not Sustained,No action
2586,Citizen complaint,Not Sustained,No action
2587,Citizen complaint,Exonerated,No action
2588,Citizen complaint,Unfounded,No action
2589,Citizen complaint,Unfounded,No action
2590,Citizen complaint,Not Sustained,No action
2591,Citizen complaint,Unfounded,No action
2592,Citizen complaint,Not Sustained,No action
2593,Citizen complaint,Not Sustained,No action
2595,Citizen complaint,Not Sustained,No action
2599,Citizen complaint,Sustained,No action
2600,Citizen complaint,Unfounded,No action
2601,Citizen complaint,Unfounded,No action
2602,Citizen complaint,Pending,No action
2603,Citizen complaint,Pending,No action
2604,Citizen complaint,Pending,No action
2605,Citizen complaint,Sustained,No action
2606,Citizen complaint,Unfounded,No action
2607,Citizen complaint,Unfounded,No action
2608,Citizen complaint,Unfounded,No action
2609,Citizen complaint,Unfounded,No action
2610,Citizen complaint,Unfounded,No action
2611,Citizen complaint,Unfounded,No action
2612,Citizen complaint,Unfounded,No action
2613,Citizen complaint,Exonerated,No action
2614,Citizen complaint,Unfounded,No action
2615,Citizen complaint,Unfounded,No action
2616,Citizen complaint,Unfounded,No action
2617,Citizen complaint,Exonerated,No action
2618,Citizen complaint,Unfounded,No action
2619,Citizen complaint,Exonerated,No action
2620,Citizen complaint,Unfounded,No action
2621,Citizen complaint,Pending,No action
2622,Citizen complaint,Exonerated,No action
2623,Citizen complaint,Not Sustained,No action
2624,Citizen complaint,Unfounded,No action
2627,Citizen complaint,Pending,No action
2630,Citizen complaint,Not Sustained,No action
2635,Citizen complaint,Not Sustained,No action
2638,Citizen complaint,Pending,No action
2641,Citizen complaint,Unfounded,No action
2642,Citizen complaint,Unfounded,No action
2643,Citizen complaint,Unfounded,No action
2644,Citizen complaint,Exonerated,No action
2645,Citizen complaint,Unfounded,No action
2646,Citizen complaint,Not Sustained,No action
2647,Citizen complaint,Not Sustained,No action
2652,Citizen complaint,Not Sustained,No action
2653,Citizen complaint,Sustained,No action
2654,Citizen complaint,Not Sustained,No action
2655,Citizen complaint,Unfounded,No action
2656,Citizen complaint,Not Sustained,No action
2657,Citizen complaint,Unfounded,No action
2658,Citizen complaint,Exonerated,No action
2664,Citizen complaint,Exonerated,No action
2665,Citizen complaint,Unfounded,No action
2666,Citizen complaint,Exonerated,No action
2667,Citizen complaint,Unfounded,No action
2668,Citizen complaint,Unfounded,No action
2669,Citizen complaint,Unfounded,No action
2670,Citizen complaint,Unfounded,No action
2672,Citizen complaint,Exonerated,No action
2673,Citizen complaint,Exonerated,No action
2674,Citizen complaint,Unfounded,No action
2675,Citizen complaint,Pending,No action
2676,Citizen complaint,Pending,No action
2677,Citizen complaint,Pending,No action
2682,Citizen complaint,Not Sustained,No action
2689,Citizen complaint,Sustained,No action
2690,Citizen complaint,Exonerated,No action
2691,Citizen complaint,Sustained,No action
2692,Citizen complaint,Unfounded,No action
2693,Citizen complaint,Unfounded,No action
2694,Citizen complaint,Unfounded,No action
2695,Citizen complaint,Not Sustained,No action
2696,Citizen complaint,Unfounded,No action
2698,Citizen complaint,Sustained,No action
2699,Citizen complaint,Sustained,No action
2700,Citizen complaint,Sustained,No action
2701,Citizen complaint,Exonerated,No action
2702,Citizen complaint,Unfounded,No action
2703,Citizen complaint,Unfounded,No action
2704,Citizen complaint,Not Sustained,No action
2705,Citizen complaint,Not Sustained,No action
2707,Citizen complaint,Not Sustained,No action
2708,Citizen complaint,Not Sustained,No action
2714,Citizen complaint,Pending,No action
2716,Citizen complaint,Pending,No action
2717,Citizen complaint,Unfounded,No action
2718,Citizen complaint,Exonerated,No action
2719,Citizen complaint,Unfounded,No action
2720,Citizen complaint,Unfounded,No action
2721,Citizen complaint,Exonerated,No action
2722,Citizen complaint,Unfounded,No action
2723,Citizen complaint,Exonerated,No action
2724,Citizen complaint,Sustained,No action
2725,Citizen complaint,Unfounded,No action
2726,Citizen complaint,Unfounded,No action
2727,Citizen complaint,Not Sustained,No action
2728,Citizen complaint,Sustained,No action
2729,Citizen complaint,Sustained,No action
2730,Citizen complaint,Exonerated,No action
2731,Citizen complaint,Exonerated,No action
2732,Citizen complaint,Exonerated,No action
2733,Citizen complaint,Not Sustained,No action
2735,Citizen complaint,Exonerated,No action
2736,Citizen complaint,Exonerated,No action
2737,Citizen complaint,Not Sustained,No action
2738,Citizen complaint,Not Sustained,No action
2739,Citizen complaint,Unfounded,No action
2742,Citizen complaint,Not Sustained,No action
2743,Citizen complaint,Pending,No action
2744,Citizen complaint,Pending,No action
2747,Citizen complaint,Exonerated,No action
2748,Citizen complaint,Pending,No action
2753,Citizen complaint,Sustained,No action
2754,Citizen complaint,Unfounded,No action
2755,Citizen complaint,Not Sustained,No action
2756,Citizen complaint,Unfounded,No action
2758,Citizen complaint,Unfounded,No action
2764,Citizen complaint,Exonerated,No action
2765,Citizen complaint,Unfounded,No action
2766,Citizen complaint,Exonerated,No action
2767,Citizen complaint,Unfounded,No action
2770,Citizen complaint,Pending,No action
2771,Citizen complaint,Unfounded,No action
2772,Citizen complaint,Unfounded,No action
2773,Citizen complaint,Not Sustained,No action
2774,Citizen complaint,Unfounded,No action
2777,Citizen complaint,Unfounded,No action
2785,Citizen complaint,Unfounded,No action
2786,Citizen complaint,Unfounded,No action
2787,Citizen complaint,Exonerated,No action
2788,Citizen complaint,Not Sustained,No action
2789,Citizen complaint,Unfounded,No action
2792,Citizen complaint,Exonerated,No action
2793,Citizen complaint,Pending,No action
2795,Citizen complaint,Not Sustained,No action
2796,Citizen complaint,Exonerated,No action
2797,Citizen complaint,Not Sustained,No action
2801,Citizen complaint,Not Sustained,No action
2802,Citizen complaint,Sustained,Retired
2803,Citizen complaint,Sustained,No action
2804,Citizen complaint,Sustained,No action
2805,Citizen complaint,Not Sustained,No action
2806,Citizen complaint,Not Sustained,No action
2807,Citizen complaint,Unfounded,No action
2808,Citizen complaint,Unfounded,No action
2809,Citizen complaint,Not Sustained,No action
2810,Citizen complaint,Not Sustained,No action
2811,Citizen complaint,Sustained,No action
2816,Citizen complaint,Pending,No action
2817,Citizen complaint,Pending,No action
2821,Citizen complaint,Not Sustained,No action
2822,Citizen complaint,Not Sustained,No action
2823,Citizen complaint,Unfounded,No action
2824,Citizen complaint,Not Sustained,No action
2825,Citizen complaint,Sustained,No action
2826,Citizen complaint,Sustained,No action
2827,Citizen complaint,Sustained,No action
2828,Citizen complaint,Unfounded,No action
2829,Citizen complaint,Exonerated,No action
2830,Citizen complaint,Exonerated,No action
2831,Citizen complaint,Not Sustained,No action
2832,Citizen complaint,Unfounded,No action
2833,Citizen complaint,Pending,No action
2834,Citizen complaint,Exonerated,No action
2835,Citizen complaint,Filed,No action
2836,Citizen complaint,Pending,No action
2837,Citizen complaint,Pending,No action
2838,Citizen complaint,Pending,No action
2839,Citizen complaint,Pending,No action
2840,Citizen complaint,Pending,No action
2841,Citizen complaint,Filed,No action
2843,Citizen complaint,Filed,No action
2844,Citizen complaint,Filed,No action
2845,Citizen complaint,Exonerated,No action
2846,Citizen complaint,Unfounded,No action
2847,Citizen complaint,Unfounded,No action
2851,Citizen complaint,Unfounded,No action
2852,Citizen complaint,Unfounded,No action
2853,Citizen complaint,Unfounded,No action
2854,Citizen complaint,Sustained,No action
2855,Citizen complaint,Sustained,No action
2857,Citizen complaint,Unfounded,No action
2858,Citizen complaint,Unfounded,No action
2859,Citizen complaint,Exonerated,No action
2860,Citizen complaint,Pending,No action
2861,Citizen complaint,Exonerated,No action
2862,Citizen complaint,Not Sustained,No action
2863,Citizen complaint,Not Sustained,No action
2864,Citizen complaint,Exonerated,No action
2865,Citizen complaint,Not Sustained,No action
2866,Citizen complaint,Exonerated,No action
2867,Citizen complaint,Not Sustained,No action
2868,Citizen complaint,Exonerated,No action
2869,Citizen complaint,Exonerated,No action
2871,Citizen complaint,Unfounded,No action
2872,Citizen complaint,Not Sustained,No action
2873,Citizen complaint,Unfounded,No action
2874,Citizen complaint,Unfounded,No action
2882,Citizen complaint,Unfounded,No action
2883,Citizen complaint,Unfounded,No action
2886,Citizen complaint,Not Sustained,No action
2890,Citizen complaint,Pending,No action
2891,Citizen complaint,Pending,No action
2892,Citizen complaint,Exonerated,No action
2893,Citizen complaint,Unfounded,No action
2896,Citizen complaint,Unfounded,No action
2898,Citizen complaint,Exonerated,No action
2899,Citizen complaint,Pending,No action
2900,Citizen complaint,Pending,No action
2902,Citizen complaint,Pending,No action
2903,Citizen complaint,Pending,No action
2904,Citizen complaint,Not Sustained,No action
2905,Citizen complaint,Unfounded,No action
2906,Citizen complaint,Not Sustained,No action
2908,Citizen complaint,Not Sustained,No action
2909,Citizen complaint,Not Sustained,No action
2910,Citizen complaint,Unfounded,No action
2911,Citizen complaint,Unfounded,No action
2912,Citizen complaint,Exonerated,No action
2913,Citizen complaint,Exonerated,No action
2914,Citizen complaint,Unfounded,No action
2915,Citizen complaint,Unfounded,No action
2916,Citizen complaint,Unfounded,No action
2917,Citizen complaint,Unfounded,No action
2918,Citizen complaint,Not Sustained,No action
2919,Citizen complaint,Not Sustained,No action
2920,Citizen complaint,Not Sustained,No action
2921,Citizen complaint,Pending,No action
2922,Citizen complaint,Pending,No action
2923,Citizen complaint,Exonerated,No action
2924,Citizen complaint,Exonerated,No action
2926,Citizen complaint,Unfounded,No action
2927,Citizen complaint,Unfounded,No action
2930,Citizen complaint,Unfounded,No action
2934,Citizen complaint,Not Sustained,No action
2936,Citizen complaint,Unfounded,No action
2939,Citizen complaint,Exonerated,No action
2941,Citizen complaint,Unfounded,No action
2942,Citizen complaint,Not Sustained,No action
2943,Citizen complaint,Not Sustained,No action
2944,Citizen complaint,Not Sustained,No action
2945,Citizen complaint,Unfounded,No action
2946,Citizen complaint,Pending,No action
2947,Citizen complaint,Pending,No action
2948,Citizen complaint,Unfounded,No action
2949,Citizen complaint,Unfounded,No action
2950,Citizen complaint,Unfounded,No action
2951,Citizen complaint,Unfounded,No action
2952,Citizen complaint,Unfounded,No action
2953,Citizen complaint,Unfounded,No action
2954,Citizen complaint,Unfounded,No action
2955,Citizen complaint,Unfounded,No action
2956,Citizen complaint,Pending,No action
2957,Citizen complaint,Pending,No action
2958,Citizen complaint,Pending,No action
2959,Citizen complaint,Pending,No action
2960,Citizen complaint,Unfounded,No action
2961,Citizen complaint,Unfounded,No action
2962,Citizen complaint,Unfounded,No action
2963,Citizen complaint,Unfounded,No action
2966,Citizen complaint,Unfounded,No action
2967,Citizen complaint,Not Sustained,No action
2968,Citizen complaint,Unfounded,No action
2969,Citizen complaint,Exonerated,No action
2970,Citizen complaint,Pending,No action
2971,Citizen complaint,Pending,No action
2972,Citizen complaint,Unfounded,No action
2973,Citizen complaint,Unfounded,No action
2974,Citizen complaint,Unfounded,No action
2975,Citizen complaint,Not Sustained,No action
2976,Citizen complaint,Not Sustained,No action
2977,Citizen complaint,Sustained,No action
2979,Citizen complaint,Pending,No action
2983,Citizen complaint,Exonerated,No action
2984,Citizen complaint,Unfounded,No action
2985,Citizen complaint,Unfounded,No action
2986,Citizen complaint,Unfounded,No action
2987,Citizen complaint,Exonerated,No action
2988,Citizen complaint,Not Sustained,No action
2989,Citizen complaint,Sustained,No action
2990,Citizen complaint,Not Sustained,No action
2991,Citizen complaint,Sustained,No action
2992,Citizen complaint,Sustained,No action
2993,Citizen complaint,Unfounded,No action
2994,Citizen complaint,Not Sustained,No action
2995,Citizen complaint,Sustained,No action
2997,Citizen complaint,Not Sustained,No action
2998,Citizen complaint,Exonerated,No action
3000,Citizen complaint,Exonerated,No action
3001,Citizen complaint,Unfounded,No action
3003,Citizen complaint,Exonerated,No action
3004,Citizen complaint,Unfounded,No action
3005,Citizen complaint,Exonerated,No action
3008,Citizen complaint,Not Sustained,No action
3009,Citizen complaint,Not Sustained,No action
3010,Citizen complaint,Sustained,No action
3011,Citizen complaint,Sustained,No action
3012,Citizen complaint,Sustained,No action
3013,Citizen complaint,Sustained,No action
3014,Citizen complaint,No action,No action
3015,Citizen complaint,Sustained,No action
3016,Citizen complaint,Sustained,No action
3017,Citizen complaint,Sustained,No action
3018,Citizen complaint,Unfounded,No action
3019,Citizen complaint,Withdrawn,No action
3020,Citizen complaint,Not Sustained,No action
3021,Citizen complaint,Not Sustained,No action
3022,Citizen complaint,Unfounded,No action
3023,Citizen complaint,Not Sustained,No action
3024,Citizen complaint,Not Sustained,No action
3025,Citizen complaint,Not Sustained,No action
3029,Citizen complaint,Not Sustained,No action
3030,Citizen complaint,Pending,No action
3031,Citizen complaint,Exonerated,No action
3032,Citizen complaint,Unfounded,No action
3034,Citizen complaint,Not Sustained,No action
3035,Citizen complaint,Sustained,No action
3036,Citizen complaint,Not Sustained,No action
3037,Citizen complaint,Not Sustained,No action
3038,Citizen complaint,Sustained,No action
3041,Citizen complaint,Not Sustained,No action
3042,Citizen complaint,Not Sustained,No action
3043,Citizen complaint,Unfounded,No action
3045,Citizen complaint,Sustained,No action
3046,Citizen complaint,Not Sustained,No action
3047,Citizen complaint,Not Sustained,No action
3048,Citizen complaint,Not Sustained,No action
3049,Citizen complaint,Not Sustained,No action
3050,Citizen complaint,Not Sustained,No action
3051,Citizen complaint,Not Sustained,No action
3052,Citizen complaint,Not Sustained,No action
3053,Citizen complaint,Not Sustained,No action
3054,Citizen complaint,Unfounded,No action
3055,Citizen complaint,Unfounded,No action
3056,Citizen complaint,Not Sustained,No action
3057,Citizen complaint,Not Sustained,No action
3058,Citizen complaint,Exonerated,No action
3059,Citizen complaint,Pending,No action
3060,Citizen complaint,Not Sustained,No action
3061,Citizen complaint,Exonerated,No action
3062,Citizen complaint,Exonerated,No action
3065,Citizen complaint,Unfounded,No action
3066,Citizen complaint,Not Sustained,No action
3067,Citizen complaint,Pending,No action
3068,Citizen complaint,Pending,No action
3069,Citizen complaint,Pending,No action
3070,Citizen complaint,Not Sustained,No action
3073,Citizen complaint,Pending,No action
3074,Citizen complaint,Pending,No action
3075,Citizen complaint,Not Sustained,No action
3076,Citizen complaint,Pending,No action
3077,Citizen complaint,Exonerated,No action
3078,Citizen complaint,Exonerated,No action
3079,Citizen complaint,Not Sustained,No action
3080,Citizen complaint,Not Sustained,No action
3081,Citizen complaint,Exonerated,No action
3082,Citizen complaint,Not Sustained,No action
3083,Citizen complaint,Withdrawn,No action
3084,Citizen complaint,Exonerated,No action
3085,Citizen complaint,Exonerated,No action
3086,Citizen complaint,Not Sustained,No action
3087,Citizen complaint,Exonerated,No action
3088,Citizen complaint,Exonerated,No action
3089,Citizen complaint,Exonerated,No action
3090,Citizen complaint,Unfounded,No action
3091,Citizen complaint,Unfounded,No action
3092,Citizen complaint,Unfounded,No action
3093,Citizen complaint,Exonerated,No action
3094,Citizen complaint,Not Sustained,No action
3101,Citizen complaint,Not Sustained,No action
3102,Citizen complaint,Not Sustained,No action
3103,Citizen complaint,Unfounded,No action
3104,Citizen complaint,Unfounded,No action
3105,Citizen complaint,Exonerated,No action
3106,Citizen complaint,Unfounded,No action
3107,Citizen complaint,Unfounded,No action
3108,Citizen complaint,Not Sustained,No action
3109,Citizen complaint,Not Sustained,No action
3114,Citizen complaint,Pending,No action
3115,Citizen complaint,Unfounded,No action
3116,Citizen complaint,Sustained,No action
3117,Citizen complaint,Not Sustained,No action
3118,Citizen complaint,Not Sustained,No action
3119,Citizen complaint,Pending,No action
3120,Citizen complaint,Not Sustained,No action
3121,Citizen complaint,Exonerated,No action
3122,Citizen complaint,Not Sustained,No action
3123,Citizen complaint,Pending,No action
3124,Citizen complaint,Exonerated,No action
3125,Citizen complaint,Not Sustained,No action
3126,Citizen complaint,Not Sustained,No action
3129,Citizen complaint,Not Sustained,No action
3130,Citizen complaint,Not Sustained,No action
3131,Citizen complaint,Not Sustained,No action
3133,Citizen complaint,Not Sustained,No action
3134,Citizen complaint,Not Sustained,No action
3135,Citizen complaint,Not Sustained,No action
3136,Citizen complaint,Not Sustained,No action
3137,Citizen complaint,Pending,No action
3138,Citizen complaint,Not Sustained,No action
3140,Citizen complaint,Sustained,No action
3141,Citizen complaint,Withdrawn,No action
3142,Citizen complaint,Not Sustained,No action
3143,Citizen complaint,Not Sustained,No action
3144,Citizen complaint,Not Sustained,No action
3145,Citizen complaint,Not Sustained,No action
3147,Citizen complaint,Pending,No action
3148,Citizen complaint,Filed,No action
3149,Citizen complaint,Pending,No action
3150,Citizen complaint,Pending,No action
3151,Citizen complaint,Unfounded,No action
3152,Citizen complaint,Not Sustained,No action
3154,Citizen complaint,Pending,No action
3155,Citizen complaint,Pending,No action
3156,Citizen complaint,Pending,No action
3158,Citizen complaint,Pending,No action
3159,Citizen complaint,Pending,No action
3161,Citizen complaint,Pending,No action
3162,Citizen complaint,Pending,No action
3165,Citizen complaint,Unfounded,No action
3166,Citizen complaint,Not Sustained,No action
3167,Citizen complaint,Exonerated,No action
3168,Citizen complaint,Not Sustained,No action
3169,Citizen complaint,Sustained,No action
3170,Citizen complaint,Not Sustained,No action
3171,Citizen complaint,Pending,No action
3172,Citizen complaint,Not Sustained,No action
3173,Citizen complaint,Pending,No action
3174,Citizen complaint,Pending,No action
3175,Citizen complaint,Pending,No action
3176,Citizen complaint,Pending,No action
3177,Citizen complaint,Pending,No action
3178,Citizen complaint,Pending,No action
3179,Citizen complaint,Not Sustained,No action
3180,Citizen complaint,Exonerated,No action
3181,Citizen complaint,Exonerated,No action
3182,Citizen complaint,Exonerated,No action
3183,Citizen complaint,Not Sustained,No action
3184,Citizen complaint,Not Sustained,No action
3185,Citizen complaint,Unfounded,No action
3186,Citizen complaint,Pending,No action
3187,Citizen complaint,Pending,No action
3188,Citizen complaint,Pending,No action
3189,Citizen complaint,Pending,No action
3190,Citizen complaint,Pending,No action
3191,Citizen complaint,Pending,No action
3192,Citizen complaint,Pending,No action
3193,Citizen complaint,Not Sustained,No action
3194,Citizen complaint,Not Sustained,No action
3195,Citizen complaint,Not Sustained,No action
3196,Citizen complaint,Not Sustained,No action
3197,Citizen complaint,Unfounded,No action
3198,Citizen complaint,Not Sustained,No action
3199,Citizen complaint,Pending,No action
3200,Citizen complaint,Not Sustained,No action
3201,Citizen complaint,Filed,No action
3202,Citizen complaint,Not Sustained,No action
3203,Citizen complaint,Filed,No action
3204,Citizen complaint,Not Sustained,No action
3207,Citizen complaint,Not Sustained,No action
3208,Citizen complaint,Unfounded,No action
3209,Citizen complaint,Unfounded,No action
3211,Citizen complaint,Pending,No action
3216,Citizen complaint,Pending,No action
3217,Citizen complaint,Pending,No action
3221,Citizen complaint,Unfounded,No action
3222,Citizen complaint,Unfounded,No action
3223,Citizen complaint,Exonerated,No action
3224,Citizen complaint,Not Sustained,No action
3225,Citizen complaint,Exonerated,No action
3226,Citizen complaint,Not Sustained,No action
3227,Citizen complaint,No action,No action
3228,Citizen complaint,Withdrawn,No action
3229,Citizen complaint,Exonerated,No action
3230,Citizen complaint,Not Sustained,No action
3231,Citizen complaint,Not Sustained,No action
3232,Citizen complaint,Withdrawn,No action
3233,Citizen complaint,Withdrawn,No action
3235,Citizen complaint,Sustained,No action
3236,Citizen complaint,Sustained,No action
3237,Citizen complaint,Sustained,No action
3238,Citizen complaint,Sustained,No action
3239,Citizen complaint,Not Sustained,No action
3240,Citizen complaint,Not Sustained,No action
3241,Citizen complaint,Sustained,No action
3242,Citizen complaint,Not Sustained,No action
3243,Citizen complaint,Sustained,No action
3244,Citizen complaint,Not Sustained,No action
3245,Citizen complaint,Exonerated,No action
3246,Citizen complaint,Not Sustained,No action
3247,Citizen complaint,Not Sustained,No action
3248,Citizen complaint,Pending,No action
3249,Citizen complaint,Pending,No action
3250,Citizen complaint,Pending,No action
3251,Citizen complaint,Sustained,No action
3252,Citizen complaint,Sustained,No action
3253,Citizen complaint,Not Sustained,No action
3254,Citizen complaint,Sustained,No action
3257,Citizen complaint,Not Sustained,No action
3258,Citizen complaint,Not Sustained,No action
3259,Citizen complaint,Withdrawn,No action
3260,Citizen complaint,Exonerated,No action
3261,Citizen complaint,Not Sustained,No action
3262,Citizen complaint,Exonerated,No action
3263,Citizen complaint,Not Sustained,No action
3264,Citizen complaint,Exonerated,No action
3265,Citizen complaint,Not Sustained,No action
3267,Citizen complaint,Pending,No action
3268,Citizen complaint,Pending,No action
3271,Citizen complaint,Not Sustained,No action
3272,Citizen complaint,Pending,No action
3273,Citizen complaint,Not Sustained,No action
3274,Citizen complaint,Not Sustained,No action
3275,Citizen complaint,Pending,No action
3276,Citizen complaint,Pending,No action
3278,Citizen complaint,Not Sustained,No action
3279,Citizen complaint,Not Sustained,No action
3280,Citizen complaint,Not Sustained,No action
3293,Citizen complaint,Pending,No action
3299,Citizen complaint,Unfounded,No action
3300,Citizen complaint,Not Sustained,No action
3301,Citizen complaint,Not Sustained,No action
3302,Citizen complaint,Unfounded,No action
3303,Citizen complaint,Pending,No action
3305,Citizen complaint,Unfounded,No action
3306,Citizen complaint,Unfounded,No action
3307,Citizen complaint,Unfounded,No action
3308,Citizen complaint,Unfounded,No action
3309,Citizen complaint,Unfounded,No action
3315,Citizen complaint,Unfounded,No action
3316,Citizen complaint,Withdrawn,No action
3319,Citizen complaint,Unfounded,No action
3320,Citizen complaint,Not Sustained,No action
3322,Citizen complaint,Pending,No action
3323,Citizen complaint,Pending,No action
3324,Citizen complaint,Pending,No action
3331,Citizen complaint,Not Sustained,No action
3332,Citizen complaint,Withdrawn,No action
3333,Citizen complaint,Pending,No action
3334,Citizen complaint,Not Sustained,No action
3335,Citizen complaint,Not Sustained,No action
3336,Citizen complaint,Not Sustained,No action
3337,Citizen complaint,Sustained,No action
3338,Citizen complaint,Sustained,No action
3339,Citizen complaint,Sustained,No action
3340,Citizen complaint,Not Sustained,No action
3341,Citizen complaint,Not Sustained,No action
3342,Citizen complaint,Not Sustained,No action
3343,Citizen complaint,Not Sustained,No action
3344,Citizen complaint,Unfounded,No action
3345,Citizen complaint,Pending,No action
3346,Citizen complaint,Not Sustained,No action
3347,Citizen complaint,Exonerated,No action
3348,Citizen complaint,Exonerated,No action
3349,Citizen complaint,Pending,No action
3355,Citizen complaint,Pending,No action
3363,Citizen complaint,Pending,No action
3364,Citizen complaint,Pending,No action
3365,Citizen complaint,Pending,No action
3368,Citizen complaint,Exonerated,No action
3369,Citizen complaint,Sustained,No action
3371,Citizen complaint,Not Sustained,No action
3372,Citizen complaint,Not Sustained,No action
3375,Citizen complaint,Not Sustained,No action
3376,Citizen complaint,Pending,No action
3377,Citizen complaint,Unfounded,No action
3378,Citizen complaint,Sustained,No action
3380,Citizen complaint,Exonerated,No action
3381,Citizen complaint,Exonerated,No action
3382,Citizen complaint,Unfounded,No action
3383,Citizen complaint,Unfounded,No action
3384,Citizen complaint,Pending,No action
3385,Citizen complaint,Pending,No action
3386,Citizen complaint,Pending,No action
3387,Citizen complaint,Pending,No action
3388,Citizen complaint,Unfounded,No action
3389,Citizen complaint,Unfounded,No action
3390,Citizen complaint,Unfounded,No action
3391,Citizen complaint,Unfounded,No action
3392,Citizen complaint,Exonerated,No action
3393,Citizen complaint,Unfounded,No action
3394,Citizen complaint,Not Sustained,No action
3395,Citizen complaint,Not Sustained,No action
3396,Citizen complaint,Unfounded,No action
3397,Citizen complaint,Withdrawn,No action
3399,Citizen complaint,Exonerated,No action
3400,Citizen complaint,Not Sustained,No action
3402,Citizen complaint,Pending,No action
3404,Citizen complaint,Pending,No action
3405,Citizen complaint,Pending,No action
3406,Citizen complaint,Pending,No action
3407,Citizen complaint,Not Sustained,No action
3408,Citizen complaint,Pending,No action
3409,Citizen complaint,Not Sustained,No action
3410,Citizen complaint,Not Sustained,No action
3411,Citizen complaint,Not Sustained,No action
3415,Citizen complaint,Not Sustained,No action
3416,Citizen complaint,Not Sustained,Settlement Agreement
3417,Citizen complaint,Sustained,No action
3418,Citizen complaint,Not Sustained,No action
3423,Citizen complaint,Exonerated,No action
3424,Citizen complaint,Exonerated,No action
3427,Citizen complaint,Sustained,Settlement Agreement
3428,Citizen complaint,Sustained,No action
3429,Citizen complaint,Unfounded,No action
3430,Citizen complaint,Pending,No action
3432,Citizen complaint,Pending,No action
3433,Citizen complaint,Not Sustained,No action
3434,Citizen complaint,Pending,No action
3435,Citizen complaint,Pending,No action
3436,Citizen complaint,Sustained,No action
3437,Citizen complaint,Not Sustained,No action
3438,Citizen complaint,Sustained,No action
3439,Citizen complaint,Sustained,No action
3443,Citizen complaint,Unfounded,No action
3454,Citizen complaint,Pending,No action
3455,Citizen complaint,Pending,No action
3456,Citizen complaint,Pending,No action
3457,Citizen complaint,Pending,No action
3458,Citizen complaint,Pending,No action
3459,Citizen complaint,Pending,No action
3464,Citizen complaint,Withdrawn,No action
3465,Citizen complaint,Pending,No action
3466,Citizen complaint,Unfounded,No action
3467,Citizen complaint,Unfounded,No action
3468,Citizen complaint,Unfounded,No action
3469,Citizen complaint,Unfounded,No action
3474,Citizen complaint,Exonerated,No action
3475,Citizen complaint,Not Sustained,No action
3476,Citizen complaint,Not Sustained,No action
3477,Citizen complaint,Exonerated,No action
3478,Citizen complaint,Exonerated,No action
3479,Citizen complaint,Not Sustained,No action
3480,Citizen complaint,Not Sustained,No action
3481,Citizen complaint,Not Sustained,No action
3482,Citizen complaint,Unfounded,No action
3484,Citizen complaint,Not Sustained,No action
3485,Citizen complaint,Not Sustained,No action
3486,Citizen complaint,Pending,No action
3487,Citizen complaint,Pending,No action
3488,Citizen complaint,Sustained,No action
3489,Citizen complaint,Sustained,No action
3490,Citizen complaint,Sustained,No action
3491,Citizen complaint,Sustained,No action
3504,Citizen complaint,Pending,No action
3505,Citizen complaint,Pending,No action
3506,Citizen complaint,Pending,No action
3507,Citizen complaint,Pending,No action
3508,Citizen complaint,Unfounded,No action
3509,Citizen complaint,Unfounded,No action
3511,Citizen complaint,Pending,No action
3512,Citizen complaint,Pending,No action
3513,Citizen complaint,Pending,No action
3514,Citizen complaint,Sustained,No action
3515,Citizen complaint,No action,No action
3516,Citizen complaint,Not Sustained,No action
3517,Citizen complaint,No action,No action
3523,Citizen complaint,Pending,No action
3524,Citizen complaint,Pending,No action
3527,Citizen complaint,Not Sustained,No action
3529,Citizen complaint,Pending,No action
3530,Citizen complaint,Not Sustained,No action
3531,Citizen complaint,Not Sustained,No action
3532,Citizen complaint,Unfounded,No action
3535,Citizen complaint,Pending,No action
3536,Citizen complaint,Pending,No action
3539,Citizen complaint,Withdrawn,No action
3540,Citizen complaint,Unfounded,No action
3541,Citizen complaint,Pending,No action
3542,Citizen complaint,Pending,No action
3543,Citizen complaint,Withdrawn,No action
3544,Citizen complaint,Withdrawn,No action
3547,Citizen complaint,Sustained,No action
3548,Citizen complaint,Sustained,No action
3549,Citizen complaint,Sustained,No action
3550,Citizen complaint,No action,No action
3551,Citizen complaint,No action,No action
3552,Citizen complaint,Pending,No action
3553,Citizen complaint,Pending,No action
3554,Citizen complaint,Pending,No action
3555,Citizen complaint,Pending,No action
3556,Citizen complaint,Pending,No action
3557,Citizen complaint,Pending,No action
3558,Citizen complaint,Pending,No action
3559,Citizen complaint,Pending,No action
3560,Citizen complaint,Not Sustained,No action
3561,Citizen complaint,Not Sustained,No action
3562,Citizen complaint,Unfounded,No action
3563,Citizen complaint,Exonerated,No action
3564,Citizen complaint,Exonerated,No action
3565,Citizen complaint,Pending,No action
3566,Citizen complaint,Exonerated,No action
3567,Citizen complaint,Pending,No action
3568,Citizen complaint,Pending,No action
