,incident_type,finding,action_taken
202,Citizen complaint,Not Sustained,No action
203,Citizen complaint,Not Sustained,No action
204,Citizen complaint,Not Sustained,No action
205,Citizen complaint,Not Sustained,No action
206,Citizen complaint,Not Sustained,No action
207,Citizen complaint,Not Sustained,No action
208,Citizen complaint,Exonerated,No action
209,Citizen complaint,Sustained,No action
210,Citizen complaint,Exonerated,No action
215,Citizen complaint,Not Sustained,No action
216,Citizen complaint,Not Sustained,No action
217,Citizen complaint,Not Sustained,No action
218,Citizen complaint,Not Sustained,No action
219,Citizen complaint,Not Sustained,No action
230,Citizen complaint,Unfounded,No action
232,Citizen complaint,Unfounded,No action
233,Citizen complaint,Sustained,Suspension
234,Citizen complaint,Not Sustained,No action
240,Citizen complaint,Not Sustained,No action
241,Citizen complaint,Not Sustained,No action
243,Citizen complaint,Unfounded,No action
244,Citizen complaint,Unfounded,No action
247,Citizen complaint,Unfounded,No action
258,Citizen complaint,Unfounded,No action
259,Citizen complaint,Not Sustained,No action
262,Citizen complaint,Exonerated,No action
263,Citizen complaint,Exonerated,No action
264,Citizen complaint,Sustained,Oral Reprimand
265,Citizen complaint,Sustained,No action
267,Citizen complaint,Unfounded,No action
268,Citizen complaint,Not Sustained,No action
269,Citizen complaint,Sustained,Oral Reprimand
270,Citizen complaint,Not Sustained,No action
286,Citizen complaint,Not Sustained,No action
287,Citizen complaint,Exonerated,No action
288,Citizen complaint,Pending,No action
293,Citizen complaint,Not Sustained,No action
294,Citizen complaint,Not Sustained,No action
296,Citizen complaint,Exonerated,No action
297,Citizen complaint,Not Sustained,No action
298,Citizen complaint,Not Sustained,No action
299,Citizen complaint,Not Sustained,No action
300,Citizen complaint,Not Sustained,No action
301,Citizen complaint,Not Sustained,No action
302,Citizen complaint,Not Sustained,No action
303,Citizen complaint,Not Sustained,No action
304,Citizen complaint,Unfounded,No action
305,Citizen complaint,Not Sustained,No action
312,Citizen complaint,Sustained,No action
313,Citizen complaint,Unfounded,No action
314,Citizen complaint,Sustained,No action
315,Citizen complaint,Not Sustained,No action
316,Citizen complaint,Exonerated,No action
317,Citizen complaint,Exonerated,No action
318,Citizen complaint,Exonerated,No action
321,Citizen complaint,Unfounded,No action
329,Citizen complaint,Unfounded,No action
330,Citizen complaint,Unfounded,No action
331,Citizen complaint,Not Sustained,No action
336,Citizen complaint,Not Sustained,Suspension
337,Citizen complaint,Sustained,No action
338,Citizen complaint,Unfounded,No action
339,Citizen complaint,Not Sustained,No action
340,Citizen complaint,Not Sustained,No action
341,Citizen complaint,Not Sustained,No action
342,Citizen complaint,Unfounded,No action
350,Citizen complaint,Not Sustained,No action
351,Citizen complaint,Not Sustained,No action
352,Citizen complaint,Unfounded,No action
353,Citizen complaint,Unfounded,No action
354,Citizen complaint,Not Sustained,No action
355,Citizen complaint,Not Sustained,No action
356,Citizen complaint,Not Sustained,No action
357,Citizen complaint,Not Sustained,No action
358,Citizen complaint,Unfounded,No action
359,Citizen complaint,Exonerated,No action
360,Citizen complaint,Not Sustained,No action
361,Citizen complaint,Exonerated,No action
362,Citizen complaint,Unfounded,No action
366,Citizen complaint,Not Sustained,No action
370,Citizen complaint,Not Sustained,No action
377,Citizen complaint,Not Sustained,No action
378,Citizen complaint,Not Sustained,No action
381,Citizen complaint,Not Sustained,No action
382,Citizen complaint,Not Sustained,No action
383,Citizen complaint,Unfounded,No action
384,Citizen complaint,Not Sustained,No action
385,Citizen complaint,Filed,No action
386,Citizen complaint,Not Sustained,No action
387,Citizen complaint,Not Sustained,No action
388,Citizen complaint,Exonerated,No action
389,Citizen complaint,Sustained,Oral Reprimand
390,Citizen complaint,Not Sustained,No action
391,Citizen complaint,Exonerated,No action
392,Citizen complaint,Exonerated,No action
395,Citizen complaint,Not Sustained,No action
396,Citizen complaint,Not Sustained,No action
402,Citizen complaint,Not Sustained,No action
403,Citizen complaint,Not Sustained,No action
404,Citizen complaint,Not Sustained,No action
405,Citizen complaint,Unfounded,No action
408,Citizen complaint,Unfounded,No action
411,Citizen complaint,Exonerated,No action
412,Citizen complaint,Not Sustained,No action
413,Citizen complaint,Not Sustained,No action
414,Citizen complaint,Not Sustained,No action
419,Citizen complaint,Sustained,Suspension
420,Citizen complaint,Sustained,No action
421,Citizen complaint,Sustained,No action
427,Citizen complaint,Unfounded,No action
428,Citizen complaint,Unfounded,No action
430,Citizen complaint,Unfounded,No action
431,Citizen complaint,Exonerated,No action
432,Citizen complaint,Not Sustained,No action
435,Citizen complaint,Unfounded,No action
437,Citizen complaint,Sustained,Oral Reprimand
444,Citizen complaint,Unfounded,No action
445,Citizen complaint,Exonerated,No action
446,Citizen complaint,Not Sustained,No action
447,Citizen complaint,Unfounded,No action
450,Citizen complaint,Not Sustained,No action
452,Citizen complaint,Unfounded,No action
454,Citizen complaint,Not Sustained,No action
456,Citizen complaint,Not Sustained,No action
457,Citizen complaint,Not Sustained,No action
458,Citizen complaint,Not Sustained,No action
460,Citizen complaint,Not Sustained,No action
463,Citizen complaint,Unfounded,No action
464,Citizen complaint,Unfounded,No action
465,Citizen complaint,Exonerated,No action
466,Citizen complaint,Not Sustained,No action
467,Citizen complaint,Exonerated,No action
468,Citizen complaint,Exonerated,No action
470,Citizen complaint,Not Sustained,No action
471,Citizen complaint,Not Sustained,No action
472,Citizen complaint,Not Sustained,No action
473,Citizen complaint,Not Sustained,No action
474,Citizen complaint,Not Sustained,No action
475,Citizen complaint,Not Sustained,No action
476,Citizen complaint,Unfounded,No action
478,Citizen complaint,Not Sustained,Retired
482,Citizen complaint,Not Sustained,No action
483,Citizen complaint,Exonerated,No action
484,Citizen complaint,Not Sustained,No action
485,Citizen complaint,Not Sustained,No action
486,Citizen complaint,Exonerated,No action
487,Citizen complaint,Exonerated,No action
490,Citizen complaint,Exonerated,No action
491,Citizen complaint,Pending,No action
492,Citizen complaint,Pending,No action
493,Citizen complaint,Pending,No action
494,Citizen complaint,Pending,No action
500,Citizen complaint,Not Sustained,No action
501,Citizen complaint,Not Sustained,No action
502,Citizen complaint,Not Sustained,No action
503,Citizen complaint,Not Sustained,No action
504,Citizen complaint,Not Sustained,No action
508,Citizen complaint,Not Sustained,Oral Reprimand
509,Citizen complaint,Sustained,No action
510,Citizen complaint,Not Sustained,No action
511,Citizen complaint,Exonerated,No action
512,Citizen complaint,Pending,No action
513,Citizen complaint,Pending,No action
514,Citizen complaint,Sustained,No action
516,Citizen complaint,Unfounded,No action
521,Citizen complaint,Not Sustained,No action
524,Citizen complaint,Not Sustained,Written Reprimand
525,Citizen complaint,Not Sustained,No action
526,Citizen complaint,Sustained,No action
527,Citizen complaint,Not Sustained,No action
528,Citizen complaint,Sustained,No action
529,Citizen complaint,Sustained,No action
530,Citizen complaint,Sustained,No action
531,Citizen complaint,Not Sustained,No action
532,Citizen complaint,Not Sustained,No action
533,Citizen complaint,Not Sustained,No action
534,Citizen complaint,Not Sustained,No action
536,Citizen complaint,Sustained,No action
541,Citizen complaint,Unfounded,No action
542,Citizen complaint,Exonerated,No action
543,Citizen complaint,Unfounded,No action
544,Citizen complaint,Not Sustained,No action
545,Citizen complaint,Unfounded,No action
546,Citizen complaint,Not Sustained,No action
547,Citizen complaint,Unfounded,No action
548,Citizen complaint,Not Sustained,No action
549,Citizen complaint,Unfounded,No action
550,Citizen complaint,Sustained,No action
551,Citizen complaint,Not Sustained,No action
552,Citizen complaint,Sustained,No action
553,Citizen complaint,Sustained,No action
554,Citizen complaint,Not Sustained,No action
555,Citizen complaint,Sustained,Oral Reprimand
556,Citizen complaint,Not Sustained,No action
558,Citizen complaint,Not Sustained,No action
559,Citizen complaint,Not Sustained,No action
560,Citizen complaint,Sustained,No action
563,Citizen complaint,Not Sustained,No action
565,Citizen complaint,Exonerated,No action
566,Citizen complaint,Exonerated,No action
567,Citizen complaint,Exonerated,No action
570,Citizen complaint,Unfounded,No action
571,Citizen complaint,Sustained,No action
572,Citizen complaint,Sustained,No action
573,Citizen complaint,Not Sustained,No action
574,Citizen complaint,Not Sustained,No action
575,Citizen complaint,Not Sustained,No action
576,Citizen complaint,Unfounded,No action
577,Citizen complaint,Unfounded,No action
582,Citizen complaint,Not Sustained,No action
583,Citizen complaint,Pending,No action
584,Citizen complaint,Not Sustained,No action
585,Citizen complaint,Not Sustained,No action
586,Citizen complaint,Not Sustained,No action
587,Citizen complaint,Not Sustained,No action
588,Citizen complaint,Not Sustained,No action
589,Citizen complaint,Exonerated,No action
590,Citizen complaint,Sustained,No action
591,Citizen complaint,Unfounded,No action
592,Citizen complaint,Not Sustained,No action
595,Citizen complaint,Not Sustained,No action
596,Citizen complaint,Pending,No action
597,Citizen complaint,Exonerated,No action
598,Citizen complaint,Exonerated,No action
600,Citizen complaint,Not Sustained,No action
610,Citizen complaint,Not Sustained,No action
611,Citizen complaint,Not Sustained,No action
612,Citizen complaint,Unfounded,No action
614,Citizen complaint,Exonerated,No action
621,Citizen complaint,Not Sustained,No action
622,Citizen complaint,Not Sustained,No action
623,Citizen complaint,Not Sustained,No action
624,Citizen complaint,Not Sustained,No action
625,Citizen complaint,Not Sustained,No action
626,Citizen complaint,Not Sustained,No action
627,Citizen complaint,Not Sustained,No action
628,Citizen complaint,Unfounded,No action
629,Citizen complaint,Unfounded,No action
631,Citizen complaint,Unfounded,No action
632,Citizen complaint,Not Sustained,No action
633,Citizen complaint,Not Sustained,No action
634,Citizen complaint,Not Sustained,No action
636,Citizen complaint,Unfounded,No action
637,Citizen complaint,Unfounded,No action
638,Citizen complaint,Not Sustained,No action
639,Citizen complaint,Unfounded,No action
640,Citizen complaint,Sustained,No action
641,Citizen complaint,Not Sustained,No action
642,Citizen complaint,Not Sustained,No action
643,Citizen complaint,Not Sustained,No action
644,Citizen complaint,Pending,No action
646,Citizen complaint,Sustained,No action
647,Citizen complaint,Sustained,No action
648,Citizen complaint,Not Sustained,No action
649,Citizen complaint,Not Sustained,No action
650,Citizen complaint,Not Sustained,No action
651,Citizen complaint,Sustained,Oral Reprimand
652,Citizen complaint,Sustained,No action
653,Citizen complaint,Not Sustained,No action
654,Citizen complaint,Not Sustained,No action
655,Citizen complaint,Sustained,No action
656,Citizen complaint,Sustained,No action
657,Citizen complaint,Exonerated,No action
660,Citizen complaint,Not Sustained,No action
661,Citizen complaint,Not Sustained,No action
663,Citizen complaint,Unfounded,No action
664,Citizen complaint,Unfounded,No action
665,Citizen complaint,Not Sustained,No action
666,Citizen complaint,Unfounded,No action
667,Citizen complaint,Exonerated,No action
668,Citizen complaint,Sustained,No action
669,Citizen complaint,Sustained,No action
670,Citizen complaint,Not Sustained,No action
671,Citizen complaint,Not Sustained,No action
672,Citizen complaint,Unfounded,No action
673,Citizen complaint,Unfounded,No action
674,Citizen complaint,Not Sustained,No action
675,Citizen complaint,Pending,No action
676,Citizen complaint,Not Sustained,No action
677,Citizen complaint,Unfounded,No action
678,Citizen complaint,Unfounded,No action
679,Citizen complaint,Unfounded,No action
680,Citizen complaint,Unfounded,No action
682,Citizen complaint,Unfounded,No action
683,Citizen complaint,Unfounded,No action
684,Citizen complaint,Not Sustained,No action
685,Citizen complaint,Not Sustained,No action
686,Citizen complaint,Sustained,Oral Reprimand
687,Citizen complaint,Sustained,No action
688,Citizen complaint,Not Sustained,No action
689,Citizen complaint,Not Sustained,No action
690,Citizen complaint,Exonerated,No action
691,Citizen complaint,Not Sustained,No action
694,Citizen complaint,Not Sustained,No action
695,Citizen complaint,Not Sustained,No action
696,Citizen complaint,Not Sustained,No action
697,Citizen complaint,Not Sustained,No action
698,Citizen complaint,Pending,No action
699,Citizen complaint,Not Sustained,No action
700,Citizen complaint,Not Sustained,No action
701,Citizen complaint,Not Sustained,No action
702,Citizen complaint,Sustained,No action
704,Citizen complaint,Not Sustained,No action
709,Citizen complaint,Sustained,Oral Reprimand
710,Citizen complaint,Sustained,No action
711,Citizen complaint,Sustained,No action
712,Citizen complaint,Sustained,No action
713,Citizen complaint,Unfounded,No action
715,Citizen complaint,Not Sustained,No action
716,Citizen complaint,Unfounded,No action
717,Citizen complaint,Unfounded,No action
718,Citizen complaint,Not Sustained,No action
719,Citizen complaint,Unfounded,No action
720,Citizen complaint,Unfounded,No action
722,Citizen complaint,Not Sustained,No action
723,Citizen complaint,Unfounded,No action
724,Citizen complaint,Not Sustained,No action
729,Citizen complaint,Exonerated,No action
730,Citizen complaint,Not Sustained,No action
732,Citizen complaint,Exonerated,No action
733,Citizen complaint,Unfounded,No action
735,Citizen complaint,Not Sustained,No action
736,Citizen complaint,Not Sustained,No action
737,Citizen complaint,Not Sustained,No action
738,Citizen complaint,Not Sustained,No action
739,Citizen complaint,Not Sustained,No action
740,Citizen complaint,Not Sustained,No action
741,Citizen complaint,Exonerated,No action
742,Citizen complaint,Sustained,Suspension
743,Citizen complaint,Sustained,No action
744,Citizen complaint,Sustained,No action
745,Citizen complaint,Sustained,No action
750,Citizen complaint,Not Sustained,No action
751,Citizen complaint,Not Sustained,No action
752,Citizen complaint,Not Sustained,No action
757,Citizen complaint,Exonerated,No action
758,Citizen complaint,Not Sustained,No action
759,Citizen complaint,Not Sustained,No action
760,Citizen complaint,Not Sustained,No action
761,Citizen complaint,Unfounded,No action
764,Citizen complaint,Not Sustained,No action
765,Citizen complaint,Not Sustained,No action
766,Citizen complaint,Not Sustained,No action
767,Citizen complaint,Not Sustained,No action
768,Citizen complaint,Not Sustained,No action
769,Citizen complaint,Not Sustained,No action
770,Citizen complaint,Not Sustained,No action
771,Citizen complaint,Unfounded,No action
772,Citizen complaint,Sustained,No action
773,Citizen complaint,Unfounded,No action
