,incident_type,finding,action_taken
453,Internal investigation,Sustained,Resigned/Retired and Charges Pending
455,Internal investigation,Not Sustained,No action
459,Internal investigation,Sustained,No action
461,Internal investigation,Sustained,Oral Reprimand
462,Internal investigation,Sustained,Oral Reprimand
469,Internal investigation,Sustained,Suspension
477,Internal investigation,Sustained,No action
479,Internal investigation,Sustained,No action
480,Internal investigation,Sustained,No action
481,Internal investigation,Sustained,No action
488,Internal investigation,Not Sustained,No action
489,Internal investigation,Sustained,No action
495,Internal investigation,Sustained,Retired
496,Internal investigation,Sustained,No action
497,Internal investigation,Sustained,No action
498,Internal investigation,Not Sustained,No action
499,Internal investigation,Unfounded,No action
505,Internal investigation,Sustained,Oral Reprimand
506,Internal investigation,Sustained,Suspension
507,Internal investigation,Sustained,Oral Reprimand
515,Internal investigation,Sustained,Oral Reprimand
517,Internal investigation,Unfounded,Oral Reprimand
518,Internal investigation,Unfounded,No action
519,Internal investigation,Sustained,No action
520,Internal investigation,Sustained,No action
522,Internal investigation,Exonerated,No action
523,Internal investigation,Unfounded,No action
535,Internal investigation,Pending,No action
537,Internal investigation,Not Sustained,No action
538,Internal investigation,Sustained,No action
539,Internal investigation,Sustained,No action
540,Internal investigation,Sustained,No action
557,Internal investigation,Sustained,Oral Reprimand
561,Internal investigation,Sustained,Oral Reprimand
562,Internal investigation,Unfounded,No action
564,Internal investigation,Sustained,No action
568,Internal investigation,Sustained,Oral Reprimand
569,Internal investigation,Sustained,No action
578,Internal investigation,Sustained,Oral Reprimand
579,Internal investigation,Sustained,No action
580,Internal investigation,Sustained,No action
581,Internal investigation,Sustained,No action
593,Internal investigation,Sustained,Oral Reprimand
594,Internal investigation,Sustained,Suspension
599,Internal investigation,Not Sustained,No action
601,Internal investigation,Not Sustained,No action
602,Internal investigation,Unfounded,No action
603,Internal investigation,Sustained,Suspension
604,Internal investigation,Unfounded,Retired
605,Internal investigation,Sustained,No action
606,Internal investigation,Sustained,No action
607,Internal investigation,Sustained,No action
608,Internal investigation,Sustained,No action
609,Internal investigation,Sustained,No action
